accuracy,balanced_accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,mcc,kappa,roc_auc_ovr_macro,roc_auc_available,train_time,test_time,classifier,family,arm,signed,hash_seed,split,m,k,corpus,embed_seconds
0.7921419518377694,0.6687420317786521,0.776789096721493,0.7921419518377694,0.7814878446864973,0.6714753765615392,0.6687420317786521,0.6652688056431814,0.7451873102385314,0.7446717825972852,0.9774511049628795,True,0.3361279700184241,0.06953466002596542,RF,tabulation,tabulation,False,1,1,28111,3,dedup,0.9420020940015092
0.7908745247148289,0.627719260170656,0.7816341311497176,0.7908745247148289,0.7783919246763412,0.7037385333263978,0.627719260170656,0.6363677116560517,0.7442473304620439,0.7431255475489538,0.9673850935120677,True,0.353809132007882,0.06942109001101926,RF,tabulation,tabulation,False,1,2,28111,3,dedup,0.9420020940015092
0.8010139416983524,0.6267170411449614,0.791019119270202,0.8010139416983524,0.7907342453626365,0.652553036644372,0.6267170411449614,0.6279134259332929,0.7565880511758709,0.755779084691562,0.9561960325311589,True,0.33333079604199156,0.05938472697744146,RF,tabulation,tabulation,False,1,3,28111,3,dedup,0.9420020940015092
0.7858048162230672,0.6421165444887006,0.7672994715477632,0.7858048162230672,0.7703109210298693,0.6343552079279641,0.6421165444887006,0.6277834320535013,0.7377462686442035,0.7369008837648898,0.9607413731609491,True,0.3430704270140268,0.048573289008345455,RF,tabulation,tabulation,False,1,4,28111,3,dedup,0.9420020940015092
0.7959442332065906,0.6813000914259123,0.7886003116765252,0.7959442332065906,0.7860425911657268,0.708215366847189,0.6813000914259123,0.6786459391196562,0.750986228148786,0.7499581718438442,0.8356066752608342,True,0.5159355369978584,0.003582860983442515,DT,tabulation,tabulation,False,1,0,28111,3,dedup,0.9420020940015092
0.7782002534854245,0.6345240357329732,0.7730435964723956,0.7782002534854245,0.7729852812552145,0.648135125165917,0.6345240357329732,0.6359211948013417,0.7287722844456928,0.7283442723581075,0.8118343737687959,True,0.503287453961093,0.0036913719959557056,DT,tabulation,tabulation,False,1,1,28111,3,dedup,0.9420020940015092
0.7858048162230672,0.6710258593647186,0.7864181592168384,0.7858048162230672,0.7835935482605635,0.6804324430221559,0.6710258593647186,0.668417217635228,0.7384658818242867,0.7380025150312414,0.8302922989213776,True,0.5314460640074685,0.0038691210211254656,DT,tabulation,tabulation,False,1,2,28111,3,dedup,0.9420020940015092
0.770595690747782,0.6366752908782044,0.7708475073155185,0.770595690747782,0.7676893583701896,0.6250880872694113,0.6366752908782044,0.6251440848594674,0.7200685805112075,0.7196855494052526,0.8127675137908897,True,0.5303943749750033,0.003493795986287296,DT,tabulation,tabulation,False,1,3,28111,3,dedup,0.9420020940015092
0.7858048162230672,0.6359427350326093,0.773399312235562,0.7858048162230672,0.7756153229209738,0.6280145746751494,0.6359427350326093,0.6263929525168522,0.7386322378767274,0.737910850260043,0.8127377263471726,True,0.5134395100176334,0.003567111969459802,DT,tabulation,tabulation,False,1,4,28111,3,dedup,0.9420020940015092
0.8035487959442332,0.6743320640549899,0.7968667939434615,0.8035487959442332,0.792782008493475,0.7134418100684282,0.6743320640549899,0.6748351744641495,0.7601465594682316,0.759049319084547,0.9730590817355672,True,204.2298561790376,0.01923571602674201,LR,tabulation,tabulation-signed,True,1,0,28111,3,dedup,1.0583172899787314
0.7756653992395437,0.6596311285408206,0.7618418935192929,0.7756653992395437,0.7674781694956267,0.6571393429904963,0.6596311285408206,0.6556421858258092,0.724925988807023,0.7247186138652895,0.9791586129622221,True,189.2541601639823,0.019448412000201643,LR,tabulation,tabulation-signed,True,1,1,28111,3,dedup,1.0583172899787314
0.7896070975918885,0.6354456258282334,0.7801665229140375,0.7896070975918885,0.7777689886882921,0.7051791778857056,0.6354456258282334,0.6456597857380847,0.7431991950726387,0.742023293421076,0.9679623421689532,True,181.92732829001034,0.019521263020578772,LR,tabulation,tabulation-signed,True,1,2,28111,3,dedup,1.0583172899787314
0.7870722433460076,0.6508033104158885,0.782078196592101,0.7870722433460076,0.7830797580863647,0.6525990960315827,0.6508033104158885,0.648596336366021,0.7397606383502712,0.7395671240628094,0.9751909060920151,True,183.32746712799417,0.018912883999291807,LR,tabulation,tabulation-signed,True,1,3,28111,3,dedup,1.0583172899787314
0.7972116603295311,0.6780903715647578,0.7856003047048055,0.7972116603295311,0.7876175579959456,0.6747634767327908,0.6780903715647578,0.6691543743773626,0.7520215895337715,0.7515449714623106,0.972005403156125,True,168.42806746903807,0.020006612001452595,LR,tabulation,tabulation-signed,True,1,4,28111,3,dedup,1.0583172899787314
