accuracy,balanced_accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,mcc,kappa,roc_auc_ovr_macro,roc_auc_available,train_time,test_time,classifier,corpus,model,regime,pooling,split,dim
0.714828897338403,0.496007845281901,0.6909704400311042,0.714828897338403,0.688876064634253,0.6447398519511309,0.496007845281901,0.5394866307435471,0.6421357100337372,0.6383159919238676,0.9130538371016406,True,0.22599036595784128,0.047964283963665366,RF,dedup,esm2_8M,truncate,mean,4,320
0.5906210392902408,0.4114164054940364,0.5983979270175805,0.5906210392902408,0.5915174131731475,0.40564227496430366,0.4114164054940364,0.399896221662015,0.5020079915220057,0.5016114459598469,0.7033340896778305,True,0.5401725398842245,0.00047429115511476994,DT,dedup,esm2_8M,truncate,mean,0,320
0.5944233206590621,0.38220161093833754,0.5909064534994775,0.5944233206590621,0.5911516523842109,0.37214816335200873,0.38220161093833754,0.3740767511901291,0.5037705183219763,0.5034593433737546,0.7015438988615321,True,0.5343565091025084,0.00048238690942525864,DT,dedup,esm2_8M,truncate,mean,1,320
0.5602027883396705,0.31506182959959617,0.5717682550050058,0.5602027883396705,0.5640846907989646,0.29951619459306716,0.31506182959959617,0.3024028382540512,0.4660657634049129,0.4657517406100721,0.6539930054198093,True,0.5282087260857224,0.0004852821584790945,DT,dedup,esm2_8M,truncate,mean,2,320
0.5855513307984791,0.3875980336840312,0.610514034903306,0.5855513307984791,0.5939818786965414,0.39240896156383553,0.3875980336840312,0.38188565138490116,0.5000497973506168,0.4993781106594356,0.6953548587548377,True,0.5556237390264869,0.000582836102694273,DT,dedup,esm2_8M,truncate,mean,3,320
0.5944233206590621,0.3976306678594572,0.6070787091056089,0.5944233206590621,0.5975531482960437,0.3930292533895988,0.3976306678594572,0.3885667620770777,0.5062975328521796,0.5058490577116161,0.7000466614288853,True,0.5627453040797263,0.0004842898342758417,DT,dedup,esm2_8M,truncate,mean,4,320
0.7452471482889734,0.5536183550446069,0.7198559470607682,0.7452471482889734,0.7278040665532102,0.5548282151016598,0.5536183550446069,0.5473284818102967,0.6881077802950397,0.6868726158414746,0.936852443309058,True,1.9604015469085425,0.001833875896409154,LR,dedup,esm2_8M,truncate,cls,0,320
0.7313054499366286,0.538545640730293,0.7085623537069087,0.7313054499366286,0.7166727826409589,0.5426039597377317,0.538545640730293,0.5351197567442708,0.6697806092359128,0.6690292172715508,0.9413807911953658,True,1.758839782094583,0.0015958799049258232,LR,dedup,esm2_8M,truncate,cls,1,320
0.7237008871989861,0.4845156453083623,0.706232334206766,0.7237008871989861,0.7074917220775467,0.5398085192906471,0.4845156453083623,0.49359789442231977,0.6602409240946377,0.6589204163502131,0.9357733651210112,True,1.6585656059905887,0.0015106291975826025,LR,dedup,esm2_8M,truncate,cls,2,320
0.7376425855513308,0.5274117046346155,0.7285804816223067,0.7376425855513308,0.7278216803330864,0.5073790792540792,0.5274117046346155,0.5093584310940685,0.681201092701395,0.6796602091232007,0.9245811942330451,True,1.74926488683559,0.0018544860649853945,LR,dedup,esm2_8M,truncate,cls,3,320
0.7351077313054499,0.4888418559820868,0.718386459262985,0.7351077313054499,0.718488165746441,0.5467771688704702,0.4888418559820868,0.4968776842517102,0.6746672919528065,0.6735538662548997,0.9419181136431498,True,1.6484677090775222,0.001792648807168007,LR,dedup,esm2_8M,truncate,cls,4,320
0.7237008871989861,0.520182958579147,0.7038795974703085,0.7237008871989861,0.7027519792192438,0.5971239550549062,0.520182958579147,0.5330850424571515,0.6574331083197629,0.6557564064588954,0.9349470883628477,True,0.30766552593559027,0.0478046138305217,RF,dedup,esm2_8M,truncate,cls,0,320
0.6856780735107731,0.4680375591681237,0.6576558553977294,0.6856780735107731,0.664678766494327,0.567425707647745,0.4680375591681237,0.5027553087471787,0.6062699512553111,0.6041079926192094,0.9512556574073365,True,0.2201156448572874,0.04737935517914593,RF,dedup,esm2_8M,truncate,cls,1,320
0.6932826362484157,0.45553803115434044,0.6594058257531746,0.6932826362484157,0.6688553851271382,0.5494665356315841,0.45553803115434044,0.4820308906272817,0.6171260199505059,0.6149907950904461,0.9066133589982147,True,0.2222021659836173,0.047918749041855335,RF,dedup,esm2_8M,truncate,cls,2,320
0.7262357414448669,0.4963721236270414,0.6987112266406712,0.7262357414448669,0.7050627604209789,0.5522562452269029,0.4963721236270414,0.511369687708885,0.661192021187532,0.6595816080106904,0.9278163272269911,True,0.21547816903330386,0.04807518213056028,RF,dedup,esm2_8M,truncate,cls,3,320
0.7110266159695817,0.4801720131401373,0.6898646043105449,0.7110266159695817,0.6928708519152703,0.5988922302003906,0.4801720131401373,0.5159597879648978,0.6403651532500767,0.6389045011481702,0.9202576143966386,True,0.22913936409167945,0.04792044195346534,RF,dedup,esm2_8M,truncate,cls,4,320
0.6337135614702155,0.4649100546884295,0.6360977050818022,0.6337135614702155,0.6318516433356328,0.44585381460802903,0.4649100546884295,0.4416603595298318,0.5511684941871897,0.5508117148547462,0.73421031577979,True,0.5364916019607335,0.0004780180752277374,DT,dedup,esm2_8M,truncate,cls,0,320
0.6134347275031685,0.4107609634289538,0.6108090882466027,0.6134347275031685,0.6094387156159997,0.3916854140400097,0.4107609634289538,0.39291507328667613,0.5268818868872174,0.52630522206934,0.7154264010508181,True,0.5517081399448216,0.00047169579192996025,DT,dedup,esm2_8M,truncate,cls,1,320
0.623574144486692,0.4175448427484094,0.6303677379335331,0.623574144486692,0.6245701472217896,0.4258887540199426,0.4175448427484094,0.415344283154865,0.5415413852686102,0.5412332685316246,0.7068322404429498,True,0.5105689130723476,0.0004768860526382923,DT,dedup,esm2_8M,truncate,cls,2,320
0.5982256020278834,0.4048114538114309,0.6191649079689324,0.5982256020278834,0.6069052677671668,0.42076745757685335,0.4048114538114309,0.40698869821192,0.5128956767088757,0.5125652623845058,0.7010745617694722,True,0.5720485979691148,0.00047418102622032166,DT,dedup,esm2_8M,truncate,cls,3,320
0.6273764258555133,0.42157585328717323,0.6439170847204251,0.6273764258555133,0.6335821414365139,0.436893359409585,0.42157585328717323,0.42326637491852614,0.5466092387090441,0.5463468725615015,0.7206334655394803,True,0.5444472141098231,0.0004754229448735714,DT,dedup,esm2_8M,truncate,cls,4,320
