accuracy,balanced_accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,mcc,kappa,roc_auc_ovr_macro,roc_auc_available,train_time,test_time,classifier,split,corpus,embedding,protocol,identity,n_clusters,target_class,n_shots,class_support
0.7769328263624842,0.6764313980300374,0.788959165432751,0.7769328263624842,0.7804046276556269,0.6320617752759756,0.6456845163013993,0.6302917246181591,0.7293589392388935,0.7290654138140271,,True,0.6216407960746437,0.005712519050575793,DT,3,dedup,Murmur2Vec,identity_group,1.0,2627.0,,,
0.7731305449936628,0.634949578928378,0.7629113905023194,0.7731305449936628,0.7623682165967128,0.6343841187224962,0.634949578928378,0.6102011172682722,0.7226508728252629,0.7222874401977383,0.8119126899426404,True,0.5949503899319097,0.00514418794773519,DT,4,dedup,Murmur2Vec,identity_group,1.0,2627.0,,,
0.8111533586818758,0.6767889918870343,0.7940605299503191,0.8111533586818758,0.7972660177591219,0.648185155380188,0.6767889918870343,0.652185534821066,0.7718772004418495,0.7710807947845186,0.9790143856074928,True,74.58301858894993,0.015325314947403967,LR,0,dedup,Spike2Vec,identity_group,1.0,2627.0,,,
0.7921419518377694,0.6431599304805298,0.7866334795152771,0.7921419518377694,0.7854383230894345,0.6747142260211869,0.6431599304805298,0.6499011252985727,0.7459361097397664,0.745441811786369,0.9800090494964546,True,74.61756778892595,0.015479310997761786,LR,1,dedup,Spike2Vec,identity_group,1.0,2627.0,,,
0.7908745247148289,0.716658739766766,0.7931971855883742,0.7908745247148289,0.7870096512312625,0.7707620378847888,0.716658739766766,0.7236451769300303,0.7430275523372336,0.7425362508009588,0.9735064427330034,True,72.8363304939121,0.020347387995570898,LR,2,dedup,Spike2Vec,identity_group,1.0,2627.0,,,
0.7984790874524715,0.6859334480082778,0.7941311191357893,0.7984790874524715,0.7932913819696452,0.6740502034727612,0.6859334480082778,0.6720920980201159,0.7549095425972014,0.7543370089471921,,True,64.14602691796608,0.015890950919128954,LR,3,dedup,Spike2Vec,identity_group,1.0,2627.0,,,
0.7896070975918885,0.6318096401035543,0.7752049950611102,0.7896070975918885,0.7776737605224191,0.6229671326695058,0.6318096401035543,0.6142430450585866,0.7431086693722737,0.7423734281167693,0.96305195802973,True,65.9209876069799,0.016529688029550016,LR,4,dedup,Spike2Vec,identity_group,1.0,2627.0,,,
0.8136882129277566,0.6826179848647084,0.7920174219731628,0.8136882129277566,0.798672838114052,0.6394758096253488,0.6826179848647084,0.6502565456481574,0.7757130981677134,0.7743262358908902,0.97189471234548,True,0.3091566850198433,0.047069253982044756,RF,0,dedup,Spike2Vec,identity_group,1.0,2627.0,,,
0.7908745247148289,0.6614075805716418,0.7794181356981779,0.7908745247148289,0.779136187400003,0.648259102668333,0.6614075805716418,0.644698623862772,0.7449677685108907,0.744017036036408,0.9523961233680935,True,0.29975236603058875,0.04825338604860008,RF,1,dedup,Spike2Vec,identity_group,1.0,2627.0,,,
0.7946768060836502,0.6678177422959879,0.7850733284013265,0.7946768060836502,0.7841703686683896,0.6967330261944273,0.6678177422959879,0.6614855192790187,0.7473668821007571,0.746655249919726,0.9565660854729344,True,0.29301354300696403,0.04812386108096689,RF,2,dedup,Spike2Vec,identity_group,1.0,2627.0,,,
0.8010139416983524,0.7123490895599739,0.7967380894974072,0.8010139416983524,0.7964602408177254,0.6809892505916488,0.7123490895599739,0.6920936275851802,0.7582323856237561,0.7577331080288202,,True,0.2882549340138212,0.04836145997978747,RF,3,dedup,Spike2Vec,identity_group,1.0,2627.0,,,
0.8022813688212928,0.645897907476543,0.79121163794654,0.8022813688212928,0.7869554882351418,0.6514866526348759,0.645897907476543,0.6257379275407557,0.7590475993441071,0.7576285070653287,0.9591109352676791,True,0.29762058693449944,0.057959115016274154,RF,4,dedup,Spike2Vec,identity_group,1.0,2627.0,,,
0.7934093789607097,0.6503760887576157,0.7917395161575226,0.7934093789607097,0.7871957492426945,0.6490759212971194,0.6503760887576157,0.6402588510221489,0.7510597066445546,0.7499557682997723,0.8201299915282081,True,0.6032807499868795,0.004081103950738907,DT,0,dedup,Spike2Vec,identity_group,1.0,2627.0,,,
0.7718631178707225,0.6465028332481854,0.7805702502165957,0.7718631178707225,0.7726280034653432,0.6482246117255448,0.6465028332481854,0.642339229634357,0.7224178570292322,0.7215921899963733,0.8176997758971379,True,0.5955262950155884,0.0025155380135402083,DT,1,dedup,Spike2Vec,identity_group,1.0,2627.0,,,
0.7820025348542459,0.7245094795470032,0.792727604982788,0.7820025348542459,0.7821737074035882,0.7267813445617528,0.7245094795470032,0.6966274768917681,0.7324758548020345,0.7320216265743048,0.8569186342843428,True,0.5916285229614004,0.006450395914725959,DT,2,dedup,Spike2Vec,identity_group,1.0,2627.0,,,
0.7820025348542459,0.6900258534612276,0.7967103636443769,0.7820025348542459,0.7851151218888611,0.6521587893633126,0.6586610419402626,0.6457115486048028,0.7361457040528386,0.7353644910113082,,True,0.5348726769443601,0.003263590973801911,DT,3,dedup,Spike2Vec,identity_group,1.0,2627.0,,,
0.7680608365019012,0.6360041944227173,0.7605635642364401,0.7680608365019012,0.7595051168537823,0.6284135000282823,0.6360041944227173,0.6072579104581277,0.7164716357276123,0.716179797809041,0.8123051059574639,True,0.527119220001623,0.002692032023333013,DT,4,dedup,Spike2Vec,identity_group,1.0,2627.0,,,
0.7843631778058008,0.677614521507448,0.7648789280917149,0.7843631778058008,0.7717988597818951,0.6342443955665643,0.677614521507448,0.6491292934191684,0.7366953672199671,0.7361994101580434,0.9688459168024967,True,142.3818943889346,0.016283797100186348,LR,0,dedup,Murmur2Vec,few_shot,,,B.1.177.21,1.0,9.0
0.7957124842370744,0.6770001483571121,0.7763804132141934,0.7957124842370744,0.784510889270267,0.6249095313829074,0.6770001483571121,0.6460484652445427,0.7485740646617777,0.748214002222575,0.9710352660090631,True,128.08032332896255,0.016353346989490092,LR,1,dedup,Murmur2Vec,few_shot,,,B.1.177.21,1.0,9.0
0.7591424968474149,0.6459799879171618,0.7433221441493417,0.7591424968474149,0.747213268250066,0.6900504380054794,0.6459799879171618,0.6515732937142347,0.7093018994901572,0.7085787289389482,0.9575313789357981,True,128.30515031097457,0.01682878192514181,LR,2,dedup,Murmur2Vec,few_shot,,,B.1.177.21,1.0,9.0
0.7906683480453972,0.6550045816402267,0.7695930140804412,0.7906683480453972,0.7762003648617682,0.6594012034423543,0.6550045816402267,0.6493062506982965,0.7476093823707123,0.7470202748150283,0.9715297977426985,True,106.76623650407419,0.014680700027383864,LR,3,dedup,Murmur2Vec,few_shot,,,B.1.177.21,1.0,9.0
0.7793190416141236,0.6456603061171138,0.7739595359342273,0.7793190416141236,0.7669514786646245,0.6501553346426496,0.6456603061171138,0.6337023285261079,0.7312060129859953,0.729517702435364,0.9662557991463838,True,110.42189379909541,0.014636263949796557,LR,4,dedup,Murmur2Vec,few_shot,,,B.1.177.21,1.0,9.0
0.7868852459016393,0.6795687316514418,0.7633255658702736,0.7868852459016393,0.7703904825918225,0.628260711805135,0.6795687316514418,0.6457009117316205,0.7401623597651183,0.7388875683384835,0.9633229491341505,True,0.3662823939230293,0.06996392901055515,RF,0,dedup,Murmur2Vec,few_shot,,,B.1.177.21,1.0,9.0
0.798234552332913,0.6070979639210317,0.7755073153427224,0.798234552332913,0.7815263959007297,0.5757570042098316,0.6070979639210317,0.5812475662399472,0.7516659814273796,0.7506877308810815,0.9638504582322119,True,0.46264670498203486,0.08826071792282164,RF,1,dedup,Murmur2Vec,few_shot,,,B.1.177.21,1.0,9.0
0.7604035308953342,0.6322977535828209,0.7350917286433989,0.7604035308953342,0.7442346261043411,0.6579680586133242,0.6322977535828209,0.626882726166959,0.7100732536589546,0.7094168085799861,0.9403650644363718,True,0.3824536460451782,0.06735101295635104,RF,2,dedup,Murmur2Vec,few_shot,,,B.1.177.21,1.0,9.0
0.7919293820933165,0.6431842222987628,0.7953899949761498,0.7919293820933165,0.7744149667903221,0.691529002400149,0.6431842222987628,0.6358919735915282,0.7488223470473334,0.7478488769837064,0.9485991132306993,True,0.3796129839029163,0.06686480902135372,RF,3,dedup,Murmur2Vec,few_shot,,,B.1.177.21,1.0,9.0
0.7944514501891551,0.6571370488616468,0.7750898393311697,0.7944514501891551,0.777666610406086,0.6554200178849053,0.6571370488616468,0.6460020486278566,0.748765927364883,0.747624812074116,0.9640448603738225,True,0.42463966994546354,0.06941635895054787,RF,4,dedup,Murmur2Vec,few_shot,,,B.1.177.21,1.0,9.0
0.7704918032786885,0.6501755843249413,0.7602085379008457,0.7704918032786885,0.762026540165565,0.6064033777670141,0.6501755843249413,0.6216053041797417,0.7208371619460251,0.7200928589021781,0.8194785534010578,True,0.5008126529864967,0.004149040090851486,DT,0,dedup,Murmur2Vec,few_shot,,,B.1.177.21,1.0,9.0
0.7730138713745272,0.6292791399425121,0.7674381647292686,0.7730138713745272,0.768203978537964,0.5909689724545933,0.6292791399425121,0.5990716082065952,0.7209416200670402,0.7203835568136183,0.8091088634473654,True,0.48681338294409215,0.004136612988077104,DT,1,dedup,Murmur2Vec,few_shot,,,B.1.177.21,1.0,9.0
0.7616645649432535,0.6723325171103866,0.7467648692728975,0.7616645649432535,0.7523994510250392,0.6315473750792779,0.6723325171103866,0.6431671617651685,0.7120577595424603,0.7118038196180383,0.8302718597376814,True,0.4601406881120056,0.004053675103932619,DT,2,dedup,Murmur2Vec,few_shot,,,B.1.177.21,1.0,9.0
0.7780580075662042,0.6576387567164225,0.7697045670274959,0.7780580075662042,0.7709664609130302,0.6302515502495959,0.6576387567164225,0.6373280976271329,0.732717166310251,0.7323571205301924,0.8234165796933269,True,0.5045148569624871,0.0040923720225691795,DT,3,dedup,Murmur2Vec,few_shot,,,B.1.177.21,1.0,9.0
0.7730138713745272,0.6418087984767817,0.759479788220379,0.7730138713745272,0.759278102157334,0.6000141571994401,0.6418087984767817,0.6006105449836078,0.7231360429089277,0.7219549252975437,0.8153404265654419,True,0.5028272269992158,0.00405886594671756,DT,4,dedup,Murmur2Vec,few_shot,,,B.1.177.21,1.0,9.0
0.7868852459016393,0.677738618982719,0.7659683437491855,0.7868852459016393,0.7737393371590996,0.6360356686621247,0.677738618982719,0.6503010930030471,0.739660375557388,0.7391665677312121,0.9687450824991607,True,52.69719084596727,0.012251539970748127,LR,0,dedup,Spike2Vec,few_shot,,,B.1.177.21,1.0,9.0
0.7957124842370744,0.6773942711558162,0.7750705520077895,0.7957124842370744,0.7839217575215526,0.6226178023774526,0.6773942711558162,0.6449501333902966,0.7484995873113278,0.7481730362099519,0.9708872734711078,True,51.28967714996543,0.012435997021384537,LR,1,dedup,Spike2Vec,few_shot,,,B.1.177.21,1.0,9.0
0.7616645649432535,0.6493005949419478,0.7437269763685016,0.7616645649432535,0.7486341723890549,0.6707032626819683,0.6493005949419478,0.6468740930581158,0.7122934387527696,0.7115370180398829,0.9574492096241339,True,50.961371982935816,0.012587270000949502,LR,2,dedup,Spike2Vec,few_shot,,,B.1.177.21,1.0,9.0
0.7944514501891551,0.6568974105486465,0.776262940050292,0.7944514501891551,0.7803973314539208,0.6592838260745126,0.6568974105486465,0.648982671601967,0.7520880475161682,0.7515014610888957,0.9713384495791012,True,56.31184999202378,0.012550662970170379,LR,3,dedup,Spike2Vec,few_shot,,,B.1.177.21,1.0,9.0
0.7805800756620429,0.6494292555798431,0.7768943527552425,0.7805800756620429,0.7688899302452952,0.6560960173626875,0.6494292555798431,0.6386232020843363,0.7328890809730073,0.7310853291808531,0.9662651772323435,True,51.434532561921515,0.012317624990828335,LR,4,dedup,Spike2Vec,few_shot,,,B.1.177.21,1.0,9.0
0.776796973518285,0.6649082380041937,0.7555616940706098,0.776796973518285,0.7616991397073234,0.6126594155190269,0.6649082380041937,0.6295198908224001,0.7279213961064822,0.7268624825836181,0.946014366159886,True,0.27611891902051866,0.047979336930438876,RF,0,dedup,Spike2Vec,few_shot,,,B.1.177.21,1.0,9.0
0.7994955863808323,0.6649024677894093,0.7798669509128758,0.7994955863808323,0.7833089942697652,0.6257398672131997,0.6649024677894093,0.6339160217575052,0.7537019983159743,0.7524303012572183,0.9104295093136177,True,0.30470324598718435,0.046534118009731174,RF,1,dedup,Spike2Vec,few_shot,,,B.1.177.21,1.0,9.0
0.7742749054224464,0.6817606269157306,0.7453621632525693,0.7742749054224464,0.7577900846578713,0.6504477559152316,0.6817606269157306,0.6617881357954102,0.7270345844519074,0.7264094211976948,0.9433089554222039,True,0.27697224693838507,0.045521043008193374,RF,2,dedup,Spike2Vec,few_shot,,,B.1.177.21,1.0,9.0
0.7957124842370744,0.6533077510825787,0.781322542834092,0.7957124842370744,0.776746475272333,0.6498099969136555,0.6533077510825787,0.6302736710065081,0.7537583745648909,0.7527550568717642,0.9361152707267635,True,0.4168362489435822,0.046032664948143065,RF,3,dedup,Spike2Vec,few_shot,,,B.1.177.21,1.0,9.0
0.7881462799495587,0.6559341812053103,0.7668718791268143,0.7881462799495587,0.7691546374607995,0.6669241818602993,0.6559341812053103,0.6475909668371346,0.7411953880552073,0.739722146788238,0.959570753838297,True,0.2714684989769012,0.04717099491972476,RF,4,dedup,Spike2Vec,few_shot,,,B.1.177.21,1.0,9.0
0.7654476670870114,0.6489095264831111,0.7489382996908903,0.7654476670870114,0.7539807684810274,0.6015877596387046,0.6489095264831111,0.619113395633245,0.7142053135547964,0.7132174521698553,0.8186684176435226,True,0.475898489006795,0.002433406072668731,DT,0,dedup,Spike2Vec,few_shot,,,B.1.177.21,1.0,9.0
0.7818411097099621,0.6504828807678683,0.7724988835867026,0.7818411097099621,0.773322490295382,0.608134076231892,0.6504828807678683,0.616632298616644,0.7320549547256353,0.73132068820321,0.8199342041016254,True,0.4471235809614882,0.0037916440051048994,DT,1,dedup,Spike2Vec,few_shot,,,B.1.177.21,1.0,9.0
0.7578814627994955,0.6568311642041812,0.7448330334976052,0.7578814627994955,0.748774615497689,0.6287179976945331,0.6568311642041812,0.6329180095079057,0.7073658954009837,0.7070822696045141,0.8224288032667068,True,0.43156163301318884,0.002961504040285945,DT,2,dedup,Spike2Vec,few_shot,,,B.1.177.21,1.0,9.0
0.7780580075662042,0.6578558452265937,0.7670000417028792,0.7780580075662042,0.7698903012995769,0.6295718438109253,0.6578558452265937,0.6362493452136108,0.7325873407787163,0.7323186215467706,0.8235153541719561,True,0.4680887470021844,0.0021020349813625216,DT,3,dedup,Spike2Vec,few_shot,,,B.1.177.21,1.0,9.0
0.7692307692307693,0.6427092259888565,0.74820398242812,0.7692307692307693,0.7532135979659152,0.6054165370282082,0.6427092259888565,0.6040871534369633,0.7182607139392541,0.7169978002433773,0.8156764284311752,True,0.46601800492499024,0.00300224800594151,DT,4,dedup,Spike2Vec,few_shot,,,B.1.177.21,1.0,9.0
