accuracy,balanced_accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,mcc,kappa,roc_auc_ovr_macro,roc_auc_available,train_time,test_time,classifier,corpus,variant,m,split,dim,arm,n_collapsed
0.8060836501901141,0.6863328865225952,0.7962299336644431,0.8060836501901141,0.7890526672789933,0.7111646347685135,0.6863328865225952,0.6750319954883461,0.7641943976294118,0.7619055132708629,0.9617414903022098,True,0.20220244099618867,0.048578423040453345,RF,dedup,Murmur2Vec,2000,0,2000,collapse_control,200.0
0.7946768060836502,0.6764698114127812,0.7885719834901128,0.7946768060836502,0.7876729742217543,0.7046400122507644,0.6764698114127812,0.675214808616656,0.7495605190388485,0.7489536297410737,0.8332039591652812,True,0.3301440170034766,0.0014687639777548611,DT,dedup,Murmur2Vec,2000,0,2000,collapse_control,200.0
0.5538656527249683,0.4863244050665537,0.5160595401868865,0.5538656527249683,0.5234835726897846,0.5704959509625369,0.4863244050665537,0.5076237556602479,0.43034123767566157,0.4233054947610603,0.8722631824579054,True,68.78393626899924,0.00984175899066031,LR,dedup,Murmur2Vec,2000,1,2000,collapse_discriminative,200.0
0.5690747782002535,0.47748718674480534,0.5191100892456888,0.5690747782002535,0.5297913975880223,0.5229327746043801,0.47748718674480534,0.4838532212163523,0.4494245466756758,0.4414822186643126,0.8450275974920877,True,0.46259494399419054,0.04828784801065922,RF,dedup,Murmur2Vec,2000,1,2000,collapse_discriminative,200.0
0.4803548795944233,0.4291393032911362,0.4875247556837179,0.4803548795944233,0.47786371565355407,0.5022267543566081,0.4291393032911362,0.4449973422172121,0.35886998728377545,0.3583330027373348,0.7157268507672773,True,0.992486170027405,0.0018983390182256699,DT,dedup,Murmur2Vec,2000,1,2000,collapse_discriminative,200.0
0.7845373891001267,0.6652872535095185,0.7704858318823904,0.7845373891001267,0.775628120747939,0.6670733081438178,0.6652872535095185,0.6624408901992243,0.7359163046328232,0.735611181086531,0.9779567046961032,True,67.41948393499479,0.009075281966943294,LR,dedup,Murmur2Vec,2000,1,2000,collapse_control,200.0
0.8048162230671736,0.695168181993454,0.7860587625575146,0.8048162230671736,0.7909463486808976,0.686058361170433,0.695168181993454,0.6848349845062724,0.7614429016169418,0.7604523382837406,0.9668318910847264,True,0.21724680403713137,0.04842934402404353,RF,dedup,Murmur2Vec,2000,1,2000,collapse_control,200.0
0.7832699619771863,0.6379028328179651,0.7761843733756177,0.7832699619771863,0.7779387817016771,0.653557562226728,0.6379028328179651,0.6420522574620576,0.7349603246584276,0.7346219436155963,0.81366211817125,True,0.3132942600059323,0.0014700049650855362,DT,dedup,Murmur2Vec,2000,1,2000,collapse_control,200.0
0.5944233206590621,0.4934158459449358,0.5462999366164224,0.5944233206590621,0.555519216527509,0.5677701170815439,0.4934158459449358,0.5201763870715559,0.48130993394736415,0.46845084833543504,0.8689515894649728,True,66.11984054604545,0.009738243999890983,LR,dedup,Murmur2Vec,2000,2,2000,collapse_discriminative,200.0
0.5880861850443599,0.48110506193094343,0.5517460997984419,0.5880861850443599,0.5459226240660113,0.5652394805924786,0.48110506193094343,0.4998762594525127,0.47271565585076974,0.4603192308825572,0.8483578788896037,True,0.48321575997397304,0.04850482597248629,RF,dedup,Murmur2Vec,2000,2,2000,collapse_discriminative,200.0
