accuracy,balanced_accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,mcc,kappa,roc_auc_ovr_macro,roc_auc_available,train_time,test_time,classifier,corpus,embedding,protocol,jaccard,n_clusters,split,m,k
0.9972997299729973,0.9973333333333333,0.997326952281809,0.9972997299729973,0.9973059299735131,0.9973602168756355,0.9973333333333333,0.997339456178287,0.9970009065156623,0.9969992234714203,0.9985164413286597,True,0.4726297660381533,0.006682861014269292,DT,flu_prottype,Spike2Vec,stratified,,,9,65999,3
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,5.566399920033291,0.03353156300727278,LR,flu_prottype,Murmur2Vec,jaccard_group,0.9,1853,0,65999,3
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,5.221471873985138,0.02299972000764683,LR,flu_prottype,Murmur2Vec,jaccard_group,0.9,1853,1,65999,3
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,4.224655982980039,0.018491763970814645,LR,flu_prottype,Murmur2Vec,jaccard_group,0.9,1853,2,65999,3
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,2.979787411983125,0.023622014035936445,LR,flu_prottype,Murmur2Vec,jaccard_group,0.9,1853,3,65999,3
0.9997719498289623,0.998989898989899,0.9997723164691088,0.9997719498289623,0.9997714627551992,0.99983922829582,0.998989898989899,0.9994119352638737,0.9997361454417399,0.999736084776431,1.0,True,4.297158117988147,0.01705285598291084,LR,flu_prottype,Murmur2Vec,jaccard_group,0.9,1853,4,65999,3
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,2.835009041999001,0.00990191602613777,LR,flu_prottype,Murmur2Vec,jaccard_group,0.9,1853,5,65999,3
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,4.488150395976845,0.015115531045012176,LR,flu_prottype,Murmur2Vec,jaccard_group,0.9,1853,6,65999,3
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,5.556248223991133,0.03577872604364529,LR,flu_prottype,Murmur2Vec,jaccard_group,0.9,1853,7,65999,3
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,4.449678439996205,0.01889187900815159,LR,flu_prottype,Murmur2Vec,jaccard_group,0.9,1853,8,65999,3
