name,n,mean_diff,ci_low,ci_high,t,df,p,cohens_d,p_corrected,correction,note,metric,method_a,method_b,mean_a,sd_a,mean_b,sd_b,p_naive,t_naive,tost_margin,p_tost,equivalent,ci90_low,ci90_high,significant_holm,verdict
Murmur2Vec | DT vs Murmur2Vec | KNN,5,0.08212927756653991,0.04845337982435372,0.11580517530872611,6.771235393300251,4,0.002482162504687854,5.368404478407777,0.09757509761143102,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),accuracy,Murmur2Vec | DT,Murmur2Vec | KNN,0.7789607097591889,0.005421863025654582,0.6968314321926489,0.010656944491547738,0.00027605802839562584,12.004117344434093,0.01,0.997994334339372,False,0.05627180455403823,0.1079867505790416,False,inconclusive
Murmur2Vec | DT vs Murmur2Vec | LR,5,-0.01734815193364412,-0.08631384896501623,0.051617545097727986,-0.6984079563276714,4,0.5233951587550034,-0.5537152650482138,1.0,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),f1_macro,Murmur2Vec | DT,Murmur2Vec | LR,0.6421354536140246,0.027423794514295954,0.6594836055476687,0.015517734166217628,0.28336455930384197,-1.2381449728271194,0.02,0.4600601433450606,False,-0.07030230518085326,0.03560600131356502,False,inconclusive
Murmur2Vec | DT vs Murmur2Vec | MLP,5,-0.02184956861878997,-0.09000862364145004,0.04630948640387011,-0.8900376893745743,4,0.42373952830053685,-0.7056441018603213,1.0,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),f1_macro,Murmur2Vec | DT,Murmur2Vec | MLP,0.6421354536140246,0.027423794514295954,0.6639850222328146,0.020130355672150775,0.1897338317203549,-1.5778681796814644,0.02,0.528219812212513,False,-0.0741843553347576,0.030485218097177663,False,inconclusive
Murmur2Vec | DT vs Murmur2Vec | NB,5,0.3020569558124447,0.21822956337523935,0.38588434824965,10.00442137198332,4,0.0005610426224413108,7.931755045818449,0.02244170489765243,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),f1_macro,Murmur2Vec | DT,Murmur2Vec | NB,0.6421354536140246,0.027423794514295954,0.34007849780157995,0.03224070538825186,5.937252525575222e-05,17.73594346332701,0.02,0.9996344946406559,False,0.23769149912149828,0.3664224125033911,True,different
Murmur2Vec | DT vs Murmur2Vec | RF,5,-0.010882173090634106,-0.06684152221509046,0.04507717603382224,-0.5399232958233554,4,0.6179051615243101,-0.42806466928659936,1.0,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),f1_macro,Murmur2Vec | DT,Murmur2Vec | RF,0.6421354536140246,0.027423794514295954,0.6530176267046587,0.02411197483604365,0.39267964231516805,-0.9571816992908027,0.02,0.3372203372004037,False,-0.05384962033911998,0.03208527415785177,False,inconclusive
Murmur2Vec | DT vs Spike2Vec | DT,5,-0.0048849828609404565,-0.021542415712411885,0.01177244999053097,-0.8142243090018039,4,0.46121109488498185,-0.6455373610550743,1.0,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),f1_macro,Murmur2Vec | DT,Spike2Vec | DT,0.6421354536140246,0.027423794514295954,0.6470204364749651,0.023645536593566222,0.22237426046200126,-1.4434654213349716,0.02,0.032700791731889806,True,-0.017675113170515382,0.007905147448634471,False,equivalent (TOST)
Murmur2Vec | DT vs Spike2Vec | KNN,5,0.11710692707218125,0.04766048107783377,0.18655337306652872,4.681894801078485,4,0.009434407269472162,3.711923091968237,0.29246662535363704,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),f1_macro,Murmur2Vec | DT,Spike2Vec | KNN,0.6421354536140246,0.027423794514295954,0.5250285265418434,0.01173429431404796,0.0011505760893058665,8.300112360892182,0.02,0.9910967686911785,False,0.06378363880053736,0.17043021534382513,False,inconclusive
Murmur2Vec | DT vs Spike2Vec | LR,5,-0.017662063365233148,-0.08623254844488781,0.050908421714421524,-0.7151436849415663,4,0.5140424753255081,-0.5669837685371262,1.0,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),f1_macro,Murmur2Vec | DT,Spike2Vec | LR,0.6421354536140246,0.027423794514295954,0.6597975169792578,0.015156208898963979,0.2736392747640133,-1.2678142485880206,0.02,0.4645671386669264,False,-0.07031275974682323,0.034988633016356935,False,inconclusive
Murmur2Vec | DT vs Spike2Vec | MLP,5,-0.020377984214244506,-0.07498237445921171,0.034226406030722696,-1.0361502851989435,4,0.3586598711749912,-0.8214858158482059,1.0,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),f1_macro,Murmur2Vec | DT,Spike2Vec | MLP,0.6421354536140246,0.027423794514295954,0.6625134378282691,0.015153228205851799,0.14010160270251723,-1.8368981267884628,0.02,0.5072066435415485,False,-0.062305049022812524,0.021549080594323512,False,inconclusive
Murmur2Vec | DT vs Spike2Vec | NB,5,0.2989166889904034,0.22184805048919232,0.3759853274916145,10.768657577832993,4,0.0004216395667011977,8.53766059063294,0.018973780501553898,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),f1_macro,Murmur2Vec | DT,Spike2Vec | NB,0.6421354536140246,0.027423794514295954,0.3432187646236212,0.02807792662281974,4.435607085489634e-05,19.09078944947626,0.02,0.9997241759544904,False,0.23974082809987368,0.35809254988093314,True,different
Murmur2Vec | DT vs Spike2Vec | RF,5,-0.02295069212226255,-0.06417195664401312,0.018270572399488018,-1.5458365371138654,4,0.19704023527925113,-1.2255778017907204,1.0,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),f1_macro,Murmur2Vec | DT,Spike2Vec | RF,0.6421354536140246,0.027423794514295954,0.6650861457362871,0.01951947508872241,0.05188013557063701,-2.7404752765188145,0.02,0.5739216004454986,False,-0.05460174840805002,0.008700364163524925,False,inconclusive
Murmur2Vec | KNN vs Murmur2Vec | LR,5,-0.14060325556390624,-0.1748566588799237,-0.10634985224788879,-11.396742597624913,4,0.000338111272281946,-9.035622075830751,0.015891229797251463,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),f1_macro,Murmur2Vec | KNN,Murmur2Vec | LR,0.5188803499837625,0.0154003203825551,0.6594836055476687,0.015517734166217628,3.542578449773412e-05,-20.20426518055532,0.02,0.9996932123456933,False,-0.166904156540949,-0.11430235458686347,True,different
Murmur2Vec | KNN vs Murmur2Vec | MLP,5,-0.1451046722490521,-0.1782471147993671,-0.11196222969873708,-12.155868005068992,4,0.00026282288594987755,-9.637475652067106,0.013403967183443754,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),f1_macro,Murmur2Vec | KNN,Murmur2Vec | MLP,0.5188803499837625,0.0154003203825551,0.6639850222328146,0.020130355672150775,2.74251635897328e-05,-21.55005068952116,0.02,0.9997657397300139,False,-0.170552540643652,-0.1196568038544522,True,different
Murmur2Vec | KNN vs Murmur2Vec | NB,5,0.1788018521821826,0.11562596028551386,0.24197774407885136,7.8579583506869035,4,0.0014171626061268432,6.229985571423009,0.05101785382056635,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),f1_macro,Murmur2Vec | KNN,Murmur2Vec | NB,0.5188803499837625,0.0154003203825551,0.34007849780157995,0.03224070538825186,0.00015398880695033896,13.93067123654472,0.02,0.9988915270515653,False,0.1302933036569136,0.22731040070745162,False,inconclusive
Murmur2Vec | KNN vs Murmur2Vec | RF,5,-0.1341372767208962,-0.16732951367883875,-0.10094503976295366,-11.220237607010024,4,0.0003593255645669766,-8.895684512440793,0.016528975970080923,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),f1_macro,Murmur2Vec | KNN,Murmur2Vec | RF,0.5188803499837625,0.0154003203825551,0.6530176267046587,0.02411197483604365,3.768872461225833e-05,-19.891355276209687,0.02,0.9996638861065307,False,-0.15962337891586156,-0.10865117452593084,True,different
Murmur2Vec | KNN vs Spike2Vec | DT,5,-0.1281400864912026,-0.1864900130569065,-0.0697901599254987,-6.097247020825453,4,0.003660071388185694,-4.834049669126074,0.1244424271983136,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),f1_macro,Murmur2Vec | KNN,Spike2Vec | DT,0.5188803499837625,0.0154003203825551,0.6470204364749651,0.023645536593566222,0.0004155128434852735,-10.80926366677627,0.02,0.9966174796428804,False,-0.17294309851496448,-0.08333707446744071,False,inconclusive
Murmur2Vec | KNN vs Spike2Vec | KNN,5,-0.006148176558080876,-0.026436171496670463,0.014139818380508713,-0.8413879618092117,4,0.447490756705776,-0.6670733832003815,1.0,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),f1_macro,Murmur2Vec | KNN,Spike2Vec | KNN,0.5188803499837625,0.0154003203825551,0.5250285265418434,0.01173429431404796,0.21006949794746993,-1.4916214308168192,0.02,0.0654474704234579,False,-0.021725973046789866,0.009429619930628116,False,inconclusive
Murmur2Vec | KNN vs Spike2Vec | LR,5,-0.14091716699549528,-0.17844918709366453,-0.10338514689732603,-10.424399686444486,4,0.0004783683861527826,-8.264724339194114,0.021048208990722433,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),f1_macro,Murmur2Vec | KNN,Spike2Vec | LR,0.5188803499837625,0.0154003203825551,0.6597975169792578,0.015156208898963979,5.045073462095712e-05,-18.48048543773507,0.02,0.9995680095801278,False,-0.16973549885476288,-0.11209883513622768,True,different
Murmur2Vec | KNN vs Spike2Vec | MLP,5,-0.14363308784450662,-0.18642609358573364,-0.1008400821032796,-9.319031855388692,4,0.0007379781574378876,-7.388361124824217,0.02804316998263973,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),f1_macro,Murmur2Vec | KNN,Spike2Vec | MLP,0.5188803499837625,0.0154003203825551,0.6625134378282691,0.015153228205851799,7.861125546144427e-05,-16.52087771742376,0.02,0.9993447489676376,False,-0.1764909792524455,-0.11077519643656775,True,different
Murmur2Vec | KNN vs Spike2Vec | NB,5,0.17566158536014131,0.12508788632150072,0.2262352843987819,9.643643991154642,4,0.0006466636212073473,7.64572173070652,0.025219881227086544,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),f1_macro,Murmur2Vec | KNN,Spike2Vec | NB,0.5188803499837625,0.0154003203825551,0.3432187646236212,0.02807792662281974,6.865875940953168e-05,17.09635352690712,0.02,0.999485368349065,False,0.13682941916087618,0.21449375155940645,True,different
Murmur2Vec | KNN vs Spike2Vec | RF,5,-0.14620579575252468,-0.17880758382803755,-0.11360400767701181,-12.451230129722276,4,0.00023925109188429187,-9.871646118849224,0.01268030786986747,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),f1_macro,Murmur2Vec | KNN,Spike2Vec | RF,0.5188803499837625,0.0154003203825551,0.6650861457362871,0.01951947508872241,2.4930674267513985e-05,-22.073671771568833,0.02,0.9997875989375963,False,-0.1712385316806255,-0.12117305982442386,True,different
Murmur2Vec | LR vs Murmur2Vec | MLP,5,-0.0045014166851458535,-0.03728566397352326,0.028282830603231553,-0.38121772972227563,4,0.7224252874122359,-0.30223893405248253,1.0,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),f1_macro,Murmur2Vec | LR,Murmur2Vec | MLP,0.6594836055476687,0.015517734166217628,0.6639850222328146,0.020130355672150775,0.5362086822106223,-0.675826801988427,0.02,0.1297896751875487,False,-0.029674250858248073,0.020671417487956364,False,inconclusive
Murmur2Vec | LR vs Murmur2Vec | NB,5,0.3194051077460888,0.2657867461384647,0.37302346935371294,16.53931081420262,4,7.826559098930168e-05,13.112778553319215,0.004617669868368799,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),f1_macro,Murmur2Vec | LR,Murmur2Vec | NB,0.6594836055476687,0.015517734166217628,0.34007849780157995,0.03224070538825186,8.05512190723994e-06,29.321064219123112,0.02,0.9999494836712304,False,0.27823514848151687,0.3605750670106608,True,different
Murmur2Vec | LR vs Murmur2Vec | RF,5,0.0064659788430100115,-0.04907048621968414,0.06200244390570417,0.3232549152835255,4,0.7626958170644652,0.25628456759787843,1.0,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),f1_macro,Murmur2Vec | LR,Murmur2Vec | RF,0.6594836055476687,0.015517734166217628,0.6530176267046587,0.02411197483604365,0.597274092813294,0.5730697147329962,0.02,0.2678805862254429,False,-0.03617676397448649,0.04910872166050652,False,inconclusive
Murmur2Vec | LR vs Spike2Vec | DT,5,0.012463169072703662,-0.042595108159057954,0.06752144630446527,0.6284850617737631,4,0.5637878947266834,0.4982786484689338,1.0,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),f1_macro,Murmur2Vec | LR,Spike2Vec | DT,0.6594836055476687,0.015517734166217628,0.6470204364749651,0.023645536593566222,0.3276299765318181,1.1141849297132576,0.02,0.3616089160669376,False,-0.029812405242622356,0.054738743388029684,False,inconclusive
Murmur2Vec | LR vs Spike2Vec | KNN,5,0.13445507900582537,0.11679618453071973,0.152113973480931,21.139893355213786,4,2.9599816082712084e-05,16.760235255368894,0.0018647884132108614,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),f1_macro,Murmur2Vec | LR,Spike2Vec | KNN,0.6594836055476687,0.015517734166217628,0.5250285265418434,0.01173429431404796,3.0271379008089415e-06,37.477025349893395,0.02,0.9999719721073034,False,0.12089599319269045,0.1480141648189603,True,different
Murmur2Vec | LR vs Spike2Vec | LR,5,-0.0003139114315890312,-0.007179794681695442,0.00655197181851738,-0.12694038420876025,4,0.9051129750736503,-0.10064150594312307,1.0,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),f1_macro,Murmur2Vec | LR,Spike2Vec | LR,0.6594836055476687,0.015517734166217628,0.6597975169792578,0.015156208898963979,0.8329764711806833,-0.22504124864677227,0.02,0.0006744557505849755,True,-0.00558576467825733,0.0049579418150792675,False,equivalent (TOST)
