accuracy,balanced_accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,mcc,kappa,roc_auc_ovr_macro,roc_auc_available,roc_auc_ovr_weighted,roc_auc_ovo_macro,roc_auc_hardlabel_ovr_weighted,roc_auc_hardlabel_ovr_macro,train_time,test_time,classifier,corpus,embedding,split,m,k,dim
0.8504761904761905,0.6540051278593245,0.8427802158545831,0.8504761904761905,0.8344096801657156,0.696218450347822,0.6540051278593245,0.6463749682119584,0.7985252455248858,0.796550051649259,0.982751413273726,True,0.9900756978725386,0.9709257389218385,0.919979305657943,0.8233652596413868,1.327070931904018,0.09368152194656432,RF,raw,Murmur2Vec,3,27235,3,27235
0.8442857142857143,0.6716378259080029,0.8365527907763187,0.8442857142857143,0.8289014813116183,0.726188669253058,0.6716378259080029,0.6683301441632497,0.7900402848296366,0.7880433876759592,0.9838481911181305,True,0.98918518782076,0.9729888074337042,0.9162102938475319,0.832010289947071,1.273745303042233,0.09338949294760823,RF,raw,Murmur2Vec,4,27235,3,27235
0.849047619047619,0.6644475508020876,0.846587262779634,0.849047619047619,0.8355583724015108,0.6992633226614251,0.6644475508020876,0.6460032661942705,0.796668403133012,0.7947621652052039,0.985598101262416,True,0.9900492028073969,0.9731907747449846,0.9196022058412541,0.8285693302120101,66.27709259092808,0.1444246768951416,MLP,raw,Murmur2Vec,0,27235,3,27235
0.8438095238095238,0.7297203108256163,0.8628175599040695,0.8438095238095238,0.8376355434884208,0.7548936734370911,0.7297203108256163,0.7038693495865401,0.790578522039315,0.7881857593669681,0.9858352091287261,True,0.9910590354175938,0.9733266853566432,0.9173529571108661,0.8611034716451201,50.56266196607612,0.13922234997153282,MLP,raw,Murmur2Vec,1,27235,3,27235
0.8447619047619047,0.6710349975595412,0.8509712304746392,0.8447619047619047,0.8272651496818924,0.7519291849020757,0.6710349975595412,0.669492124949893,0.7918993731638698,0.7882391369708608,0.9848562392776611,True,0.9904253211909062,0.9710771184951282,0.915495851198449,0.8316764011069729,41.05159707390703,0.11919030197896063,MLP,raw,Murmur2Vec,2,27235,3,27235
0.8295238095238096,0.6512886740139846,0.8464862518605243,0.8295238095238096,0.8226815158375652,0.685941695909917,0.6512886740139846,0.6376401140054513,0.7719221160818195,0.7691674245434164,0.9858550072425545,True,0.9905595736425173,0.9728679271601247,0.9104179666517965,0.821572426400256,61.325344956014305,0.12826290307566524,MLP,raw,Murmur2Vec,3,27235,3,27235
0.8442857142857143,0.705635869522067,0.8521101445665737,0.8442857142857143,0.8386334066273909,0.7585913524682055,0.705635869522067,0.6994981581496572,0.7900173171885284,0.7887782078905965,0.9868900197001106,True,0.9898800703722846,0.9753423228316185,0.9173537447727851,0.8490612867961602,64.6571694330778,0.12549137393943965,MLP,raw,Murmur2Vec,4,27235,3,27235
0.8585714285714285,0.6925559144554252,0.8523549539198476,0.8585714285714285,0.8431374605323008,0.7481705484054103,0.6925559144554252,0.6854604515601964,0.809291389637296,0.8074396168675115,0.9805954928168272,True,0.9898516039445852,0.9687565337571795,0.9239325683643523,0.8428203466988197,345.01145509281196,0.049592281924560666,LR,raw,Murmur2Vec,0,27235,3,27235
0.861904761904762,0.7004733381976634,0.8544037483014353,0.861904761904762,0.8475582368301832,0.7566717891621315,0.7004733381976634,0.6993231918128276,0.8136461887993155,0.8120050662936814,0.9854146969210889,True,0.9912572414586845,0.9712813479272963,0.9254998484142691,0.8468502985722076,371.3530986739788,0.04948390903882682,LR,raw,Murmur2Vec,1,27235,3,27235
0.8533333333333334,0.6687538586557081,0.8418382375725039,0.8533333333333334,0.8389681339442634,0.7119755419408402,0.6687538586557081,0.6711465137653025,0.8017408096779827,0.8002380589118596,0.9812893749424988,True,0.9895409460735681,0.9656625548111047,0.9207930066269967,0.8307766114472631,357.09678563382477,0.049844065215438604,LR,raw,Murmur2Vec,2,27235,3,27235
