accuracy,balanced_accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,mcc,kappa,roc_auc_ovr_macro,roc_auc_available,roc_auc_ovr_weighted,roc_auc_ovo_macro,roc_auc_hardlabel_ovr_weighted,roc_auc_hardlabel_ovr_macro,train_time,test_time,classifier,corpus,embedding,split,m,k,dim,shard
0.779467680608365,0.6767480990515522,0.7796340022561654,0.779467680608365,0.7756164502349782,0.6935922862067755,0.6767480990515522,0.6694082178988906,0.731072676676827,0.7304740645632468,0.8329978078636384,True,0.8817226834329736,0.8306775756936701,0.8817226834329736,0.8329978078636384,0.5182289140066132,0.0034440350136719,DT,dedup,Murmur2Vec,2,27235,3,27235,0
0.7718631178707225,0.6374063037636429,0.7696767815052314,0.7718631178707225,0.7667936042369567,0.6193930141356612,0.6374063037636429,0.6225523324708238,0.7222042268982433,0.7213753487222346,0.8131624160646758,True,0.8781038120227964,0.8100699686380987,0.8781038120227964,0.8131624160646758,0.5255294889793731,0.0033818990341387,DT,dedup,Murmur2Vec,3,27235,3,27235,0
0.7782002534854245,0.614329324080583,0.7681813685730428,0.7782002534854245,0.7690977167651873,0.6167296333601011,0.614329324080583,0.6075642094525834,0.7289790352024155,0.7282827944906791,0.8017382568462736,True,0.8806190857316102,0.797982026899353,0.8806190857316102,0.8017382568462736,0.5212196169886738,0.0034368209890089,DT,dedup,Murmur2Vec,4,27235,3,27235,0
0.5564005069708492,0.3335555083548541,0.6813507648419237,0.5564005069708492,0.5925127126427973,0.6307998518111654,0.3335555083548541,0.3885722710043838,0.473239490040292,0.468783964450942,0.6576049114443787,True,0.7632986455585177,0.6522675016027718,0.760019774220639,0.655869562096547,0.0166221240069717,0.243155232979916,NB,dedup,Spike2Vec,0,27235,3,3492,0
0.523447401774398,0.2667641693486632,0.5966503696658283,0.523447401774398,0.5279804736590545,0.5114806577162325,0.2667641693486632,0.3172915963411242,0.4075494651984304,0.4033942479985037,0.6276623720393907,True,0.7231204805222081,0.6228039383436055,0.7130690688880474,0.6203397696237883,0.0153634669841267,0.2438006720039993,NB,dedup,Spike2Vec,1,27235,3,3492,0
0.5462610899873257,0.2940013427472088,0.6105018819886984,0.5462610899873257,0.561776141536754,0.4388657655429862,0.2940013427472088,0.3229275905133855,0.4497630140744078,0.4467972596622757,0.6466269416789019,True,0.754832985437873,0.6412987270858291,0.7425688292880753,0.6352992545230625,0.0165043050074018,0.2429813710041344,NB,dedup,Spike2Vec,2,27235,3,3492,0
0.6121673003802282,0.2981326751137995,0.62982356258675,0.6121673003802282,0.599681460859088,0.5243170263610737,0.2981326751137995,0.3461225729398675,0.5132663095936137,0.5089051795681252,0.6458570920049005,True,0.7797784092812875,0.6400197407874914,0.7680770968488522,0.6385243874136658,0.0165022219880484,0.2417330330354161,NB,dedup,Spike2Vec,3,27235,3,3492,0
0.5475285171102662,0.2947429285571621,0.6117943726329318,0.5475285171102662,0.5568089365615428,0.5052354317301924,0.2947429285571621,0.3411797923193452,0.4443955258866197,0.4409719327911214,0.6406124275993409,True,0.7484836320332452,0.6356891806091667,0.7344812696816443,0.6353024310822923,0.0165678840130567,0.243763432954438,NB,dedup,Spike2Vec,4,27235,3,3492,0
0.6894803548795945,0.517516427691947,0.6834335626575312,0.6894803548795945,0.6798567919192042,0.5854271535867174,0.517516427691947,0.5385792381894943,0.6187594604562551,0.6175835784784058,0.8601513300753747,True,0.9083985414664164,0.8520338670772966,0.8261441985283319,0.7508556774154429,0.002785662014503,0.7523596500395797,KNN,dedup,Spike2Vec,0,27235,3,3492,0
0.6996197718631179,0.5042650056418752,0.6984468653402653,0.6996197718631179,0.6922493024594445,0.5958612341116938,0.5042650056418752,0.5288395752065147,0.6306989586511963,0.6296097485609701,0.8677937169280171,True,0.9177237944530214,0.8596470351036289,0.8325889493894475,0.7445229096113671,0.0026233909884467,0.650684338004794,KNN,dedup,Spike2Vec,1,27235,3,3492,0
0.6894803548795945,0.4764864925474262,0.6968152429555571,0.6894803548795945,0.6844501175136855,0.5994743135124,0.4764864925474262,0.5067314706219982,0.6189668232708258,0.6177892457810601,0.8339781346127654,True,0.911156930540997,0.8246110380933191,0.8262739667815886,0.7303466084001489,0.0024948520003817,0.6671709910151549,KNN,dedup,Spike2Vec,2,27235,3,3492,0
0.7110266159695817,0.5014949163228493,0.7100106144876643,0.7110266159695817,0.6999484213979209,0.5893489956740283,0.5014949163228493,0.522545824379766,0.6455605076644135,0.6439587060816695,0.8621516481027297,True,0.9151118478143242,0.8523216192041988,0.8376535835567444,0.7433680755958221,0.0027309510041959,0.6543889369932003,KNN,dedup,Spike2Vec,3,27235,3,3492,0
0.7084917617237009,0.4951937873697087,0.7188515444936752,0.7084917617237009,0.7020691699858768,0.6089985056854466,0.4951937873697087,0.5284465243114438,0.64230675868667,0.6403244156039782,0.8500181586580915,True,0.9175283286285312,0.8410461287493949,0.8372995246310733,0.7402014175317213,0.0022962740040384,0.6623203239869326,KNN,dedup,Spike2Vec,4,27235,3,3492,0
0.8162230671736375,0.6982645633109327,0.8171501810950657,0.8162230671736375,0.8006431042635435,0.7364963242988503,0.6982645633109327,0.6898195265348656,0.7766752620799332,0.7744589913789535,0.9774586652553188,True,0.980756933469156,0.9678667889090125,0.8998476664161338,0.8445799028561997,0.2458330460358411,0.0486628180369734,RF,dedup,Spike2Vec,0,27235,3,3492,0
0.8035487959442332,0.6872879278792179,0.7866705807724992,0.8035487959442332,0.7905103363150476,0.6865794873479883,0.6872879278792179,0.6803699227102094,0.7596324541886906,0.7587079793384027,0.9596506172951176,True,0.976666495837264,0.9480480729135357,0.8928747321234299,0.838774633581583,0.2284623510204255,0.0485623209970071,RF,dedup,Spike2Vec,1,27235,3,3492,0
0.8035487959442332,0.6614348612005104,0.7960213492278023,0.8035487959442332,0.7921786455027333,0.7108013857681548,0.6614348612005104,0.6611323733798501,0.7599122633883006,0.7591020027065198,0.9430494383726252,True,0.975554846321515,0.9311759660031506,0.8942375094482675,0.8259100446660855,0.2367848550202325,0.0592291579814627,RF,dedup,Spike2Vec,2,27235,3,3492,0
0.8086185044359949,0.6555481102014888,0.799923678426189,0.8086185044359949,0.7993780338597763,0.6586979949687827,0.6555481102014888,0.6495832340548221,0.766116382890411,0.7652775752895145,0.958757618890467,True,0.9780056261153742,0.9484288258568864,0.8967283574323546,0.8230798895294879,0.2458307310007512,0.0483110640197992,RF,dedup,Spike2Vec,3,27235,3,3492,0
0.7984790874524715,0.6617095650377973,0.7888607412823437,0.7984790874524715,0.7858047785481781,0.6526164645383937,0.6617095650377973,0.6445256720016889,0.7537795303196344,0.7528833331035203,0.9510097075934104,True,0.9762079969181836,0.9404628523407106,0.891314159010815,0.8259145170193903,0.2502856430364772,0.049001396051608,RF,dedup,Spike2Vec,4,27235,3,3492,0
0.7858048162230672,0.6878217193175701,0.7942957321526907,0.7858048162230672,0.7805753221155106,0.7204255055166968,0.6878217193175701,0.6851414492841478,0.7397282170560578,0.7378768458961737,0.9678546193979916,True,0.9779242798536144,0.9565792836890138,0.8846163089954417,0.8386661464313053,5.06757314002607,0.0052269250154495,MLP,dedup,Spike2Vec,0,27235,3,3492,0
0.779467680608365,0.6598004573829037,0.7754864991307318,0.779467680608365,0.7753020731396515,0.6517014177350757,0.6598004573829037,0.6536163080152424,0.7305673077174951,0.730018230052645,0.9746272890795228,True,0.977379790635114,0.9591267508020112,0.8816021635893471,0.8245185088546041,5.071264213998802,0.0051274200086481,MLP,dedup,Spike2Vec,1,27235,3,3492,0
0.7782002534854245,0.6563228196221108,0.774726107755642,0.7782002534854245,0.769581551434803,0.6975417354750889,0.6563228196221108,0.6614289253526248,0.7303038608500229,0.7284495219964245,0.9696678815490138,True,0.9771713001057578,0.9521932985476876,0.8807714498698574,0.8227419302596853,4.455821472976822,0.0048235859721899,MLP,dedup,Spike2Vec,2,27235,3,3492,0
0.7934093789607097,0.6475703136955452,0.7838662612117453,0.7934093789607097,0.782827863808708,0.6575946955519852,0.6475703136955452,0.6450962461910623,0.7478745301186958,0.7465871921182266,0.9737076263164254,True,0.9796021545297152,0.9566246591354828,0.8884564841993682,0.8187149970386529,5.635702450003009,0.0052202729857526,MLP,dedup,Spike2Vec,3,27235,3,3492,0
0.7667934093789607,0.6675907305433108,0.7809807719223958,0.7667934093789607,0.7615295999921831,0.6971096886872288,0.6675907305433108,0.6672842602982685,0.7175630744911589,0.7146720544649806,0.9685493538825616,True,0.9749598656596604,0.950181012221184,0.8742443024546379,0.8280791972014115,5.7339544359711,0.0050718280253931,MLP,dedup,Spike2Vec,4,27235,3,3492,0
0.8035487959442332,0.6751831278847772,0.7964494915817721,0.8035487959442332,0.7922878069785161,0.7148035013429509,0.6751831278847772,0.675435553408872,0.7600894268985796,0.7590080104046585,0.9726912784840144,True,0.9800310011239476,0.9602753659473394,0.8933869027354256,0.8327455140667261,70.67432878998807,0.0126539960037916,LR,dedup,Spike2Vec,0,27235,3,3492,0
